parcel_id,tax_district,land_use,sale_year,actual,predicted,residual,residual_z
119 01 0 367.00,URBAN SERVICES DISTRICT,SINGLE FAMILY,2014,107260.040720465,147726.74988104185,-40466.70916057685,-0.540057781920752
098 01 0 022.00,GENERAL SERVICES DISTRICT,SINGLE FAMILY,2016,164035.76979004778,195815.96978618484,-31780.19999613706,-0.4232911367838533
094 03 0 007.00,URBAN SERVICES DISTRICT,SINGLE FAMILY,2016,322247.7844396205,228723.34087972884,93524.44355989166,1.26109122799962
075 11 0 005.00,GENERAL SERVICES DISTRICT,SINGLE FAMILY,2015,196475.79836045514,167518.51897178093,28957.279388674215,0.3931601634541236
119 10 0 189.00,URBAN SERVICES DISTRICT,SINGLE FAMILY,2016,89297.57882061772,164325.294139762,-75027.71531914428,-1.0046371273512684
165 13 0 003.00,URBAN SERVICES DISTRICT,SINGLE FAMILY,2016,125210.73552021399,135967.70561412218,-10756.970093908196,-0.14069061462308324
064 02 0 061.00,GENERAL SERVICES DISTRICT,SINGLE FAMILY,2014,339492.78943633416,414601.3722117755,-75108.58277544135,-1.0057241718007488
091 02 0 049.00,URBAN SERVICES DISTRICT,SINGLE FAMILY,2016,189272.04206543975,143420.66869377295,45851.37337166679,0.6202556099307215
162 03 0 117.00,URBAN SERVICES DISTRICT,SINGLE FAMILY,2015,132687.50764713078,115336.63382686039,17350.873820270397,0.23714340060205358
118 13 0 143.00,URBAN SERVICES DISTRICT,SINGLE FAMILY,2013,318000.0,330597.48987970833,-12597.48987970833,-0.16543143013684036
091 08 0 107.00,URBAN SERVICES DISTRICT,SINGLE FAMILY,2014,39361.48283319816,98558.59725357767,-59197.114420379505,-0.7918374718789483
150 02 0 425.00,URBAN SERVICES DISTRICT,SINGLE FAMILY,2016,165006.39564679362,163611.1774444227,1395.2182023709174,0.022662722323509514
136 07 0 084.00,URBAN SERVICES DISTRICT,SINGLE FAMILY,2013,130000.0,133708.28699116095,-3708.286991160945,-0.045940115549152456
118 01 0 310.00,URBAN SERVICES DISTRICT,SINGLE FAMILY,2014,275530.37983238715,369469.16851482284,-93938.7886824357,-1.2588454118033254
071 16 0 210.00,URBAN SERVICES DISTRICT,SINGLE FAMILY,2013,238750.0,221447.017480504,17302.982519496,0.23649963146340336
034 05 0 025.00,CITY OF GOODLETTSVILLE,SINGLE FAMILY,2015,79612.50458827848,130201.17815024902,-50588.67356197054,-0.6761202441793852
072 05 0 143.00,URBAN SERVICES DISTRICT,SINGLE FAMILY,2014,191788.82510475806,159910.54562526353,31878.279479494522,0.43242511725696237
072 04 0 153.00,URBAN SERVICES DISTRICT,SINGLE FAMILY,2013,90000.0,191410.82045895993,-101410.82045895993,-1.3592866899260436
131 14 0 062.00,URBAN SERVICES DISTRICT,SINGLE FAMILY,2014,435928.42237766966,473685.1184371194,-37756.69605944975,-0.5036289781164494
