parcel_id,sale_date,sale_year,sale_price,land_use,tax_district,sold_as_vacant,price_outlier_flag,sale_price_real
081 06 0 369.00,2013-01-11,2013,54500.0,SINGLE FAMILY,URBAN SERVICES DISTRICT,N,CLEAN,54500.0
081 07 0 395.00,2013-01-10,2013,17000.0,SINGLE FAMILY,URBAN SERVICES DISTRICT,N,CLEAN,17000.0
081 15 0 092.00,2013-01-25,2013,25000.0,SINGLE FAMILY,URBAN SERVICES DISTRICT,N,CLEAN,25000.0
081 15 0 489.00,2013-01-08,2013,37500.0,SINGLE FAMILY,URBAN SERVICES DISTRICT,N,CLEAN,37500.0
090 12 0 275.00,2013-01-07,2013,78500.0,DUPLEX,URBAN SERVICES DISTRICT,N,CLEAN,78500.0
090 16 0 182.00,2013-01-11,2013,102000.0,SINGLE FAMILY,URBAN SERVICES DISTRICT,N,CLEAN,102000.0
091 02 0 238.00,2013-01-09,2013,35000.0,VACANT RES LAND,,N,CLEAN,35000.0
091 07 0 171.00,2013-01-02,2013,50000.0,SINGLE FAMILY,URBAN SERVICES DISTRICT,N,CLEAN,50000.0
091 07 0 370.00,2013-01-25,2013,150000.0,SINGLE FAMILY,,N,CLEAN,150000.0
091 08 0 074.00,2013-01-16,2013,93000.0,SINGLE FAMILY,URBAN SERVICES DISTRICT,N,CLEAN,93000.0
091 08 0 112.00,2013-01-07,2013,59220.0,SINGLE FAMILY,URBAN SERVICES DISTRICT,N,CLEAN,59220.0
091 08 0 361.00,2013-01-04,2013,215044.0,SINGLE FAMILY,URBAN SERVICES DISTRICT,N,CLEAN,215044.0
091 09 0 233.00,2013-01-18,2013,127500.0,SINGLE FAMILY,URBAN SERVICES DISTRICT,N,CLEAN,127500.0
092 09 0 080.00,2013-01-23,2013,15000.0,VACANT RES LAND,URBAN SERVICES DISTRICT,N,CLEAN,15000.0
114 07 0B 188.00,2013-01-11,2013,38000.0,VACANT RES LAND,,N,CLEAN,38000.0
114 08 0C 092.00,2013-01-10,2013,156500.0,RESIDENTIAL CONDO,,N,CLEAN,156500.0
126 15 0A 180.00,2013-01-08,2013,214000.0,SINGLE FAMILY,,N,CLEAN,214000.0
126 15 0A 232.00,2013-01-11,2013,182000.0,SINGLE FAMILY,,N,CLEAN,182000.0
126 15 0B 283.00,2013-01-25,2013,162000.0,SINGLE FAMILY,,N,CLEAN,162000.0
126 16 0A 335.00,2013-01-14,2013,258000.0,SINGLE FAMILY,,N,CLEAN,258000.0
126 16 0A 480.00,2013-01-16,2013,255000.0,SINGLE FAMILY,,N,CLEAN,255000.0
127 00 0 173.00,2013-01-10,2013,600000.0,SINGLE FAMILY,GENERAL SERVICES DISTRICT,N,CLEAN,600000.0
050 13 0 026.00,2013-01-31,2013,31000.0,SINGLE FAMILY,URBAN SERVICES DISTRICT,N,CLEAN,31000.0
058 10 0B 031.00,2013-01-07,2013,52500.0,VACANT RES LAND,,N,CLEAN,52500.0
058 10 0B 052.00,2013-01-07,2013,52500.0,VACANT RES LAND,,N,CLEAN,52500.0
058 15 0 155.00,2013-01-18,2013,115000.0,SINGLE FAMILY,URBAN SERVICES DISTRICT,N,CLEAN,115000.0
059 11 0 015.00,2013-01-17,2013,45000.0,SINGLE FAMILY,URBAN SERVICES DISTRICT,N,CLEAN,45000.0
059 15 0 059.00,2013-01-18,2013,120000.0,SINGLE FAMILY,URBAN SERVICES DISTRICT,N,CLEAN,120000.0
069 04 0 065.00,2013-01-22,2013,52500.0,SINGLE FAMILY,URBAN SERVICES DISTRICT,N,CLEAN,52500.0
